book_id,canonical_title,authors,description,subjects,first_publish_year,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count,cover_url,openlibrary_key,source_openlibrary,source_leadershipnow,publication_year_observed,title_normalized,has_authors,has_description,has_subjects,has_cover,has_rating,has_engagement,has_extended_text,has_first_publish_year,has_observed_publication_year,book_age_from_first_publish,years_since_observed_publication,log1p_ratings_count,log1p_want_to_read_count,log1p_currently_reading_count,log1p_already_read_count,log1p_edition_count,total_reader_engagement,log1p_total_reader_engagement,format,page_count,has_edition_metadata,has_page_count,is_hardcover,is_paperback,log1p_page_count,format_edition,page_count_edition,has_edition_metadata_edition,has_page_count_edition,is_hardcover_edition,is_paperback_edition,log1p_page_count_edition,title_text,authors_text,subjects_text,description_text,content_text,content_word_count,content_char_count,has_title_text,has_author_text,has_subject_text,has_description_text,content_component_count,content_depth,source_group,core_content_text,enriched_content_text,core_word_count,enriched_word_count,additional_semantic_words
BOOK00001,Principle-Centered Leadership,['Stephen R. Covey'],"How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.","['Leadership', 'Psychological aspects of Success', 'Success', 'Psychological aspects', 'Commerce', 'Success in business', 'Aptitude pour la direction', 'Achievement', 'Success--']",1989.0,4.5,2.0,21.0,145.0,15.0,6.0,https://covers.openlibrary.org/b/id/10858615-L.jpg,/works/OL2630041W,True,False,,principle-centered leadership,1,1,1,1,1,1,1,1,0,37.0,,1.0986122886681098,4.983606621708336,2.772588722239781,1.9459101490553132,3.091042453358316,166.0,5.117993812416755,,,0,0,0,0,,,,,,,,,Principle-Centered Leadership,Stephen R. Covey,Leadership Psychological aspects of Success Success Psychological aspects Commerce Success in business Aptitude pour la direction Achievement Success--,"How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.","Principle-Centered Leadership Stephen R. Covey Leadership Psychological aspects of Success Success Psychological aspects Commerce Success in business Aptitude pour la direction Achievement Success-- How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.",199,1303,1,1,1,1,4,Rich,Open Library only,Principle-Centered Leadership Stephen R. Covey,"Principle-Centered Leadership Stephen R. Covey Leadership Psychological aspects of Success Success Psychological aspects Commerce Success in business Aptitude pour la direction Achievement Success-- How do we as individuals and organizations survive and thrive amid tremendous change? Why are efforts to improve falling so short in real results despite the millions of dollars in time, capital, and human effort being spent on them? How do we unleash the creativity, talent, and energy within ourselves and others in the midst of pressure? Is it realistic to believe that balance among personal, family, and professional life is possible? The answer to these and other dilemmas is Principle-Centered Leadership, a long-term, inside-out approach to developing people and organizations. The key to dealing with the challenges that face us today is the recognition of a principle-centered core within both ourselves and our organizations. Dr. Covey offers insights and guidelines that can help you apply these principles both at work and at home -- leading not just to a new understanding of how to increase quality and productivity, but also to a new appreciation of the importance of building personal and professional relationships in order to enjoy a more balanced, more rewarding, more effective life.",5,199,194
BOOK00002,Leadership in Organizations,['Gary A. Yukl'],,"['Organisation', 'Prise de décision', 'Entscheidungsfindung', 'Leadership', 'Organizational sociology', 'Organization', 'Decision making', 'Management', 'Entscheidungstheorie', 'Politische Wissenschaft', 'Economic development', 'Fu\x98hrung', 'Prise de decision', '85.08 organizational sociology and psychology', 'Führung', 'Organisationsverhalten', 'Leiderschap', 'Armies', 'Executive ability', 'Organizational Decision Making', 'Manuel', 'Organisation (organisme)', 'Ledarskap', 'Organisationssociologi', 'Organisationsteori', 'Organisationsutveckling', 'Beslutsfattande', 'Organization theory']",1981.0,5.0,1.0,26.0,110.0,12.0,0.0,https://covers.openlibrary.org/b/id/87719-L.jpg,/works/OL2731767W,True,False,,leadership in organizations,1,0,1,1,1,1,1,1,0,45.0,,0.6931471805599453,4.709530201312334,2.5649493574615367,0.0,3.295836866004329,122.0,4.812184355372417,,,0,0,0,0,,,,,,,,,Leadership in Organizations,Gary A. Yukl,Organisation Prise de décision Entscheidungsfindung Leadership Organizational sociology Organization Decision making Management Entscheidungstheorie Politische Wissenschaft Economic development Fuhrung Prise de decision 85.08 organizational sociology and psychology Führung Organisationsverhalten Leiderschap Armies Executive ability Organizational Decision Making Manuel Organisation (organisme) Ledarskap Organisationssociologi Organisationsteori Organisationsutveckling Beslutsfattande Organization theory,,Leadership in Organizations Gary A. Yukl Organisation Prise de décision Entscheidungsfindung Leadership Organizational sociology Organization Decision making Management Entscheidungstheorie Politische Wissenschaft Economic development Fuhrung Prise de decision 85.08 organizational sociology and psychology Führung Organisationsverhalten Leiderschap Armies Executive ability Organizational Decision Making Manuel Organisation (organisme) Ledarskap Organisationssociologi Organisationsteori Organisationsutveckling Beslutsfattande Organization theory,51,550,1,1,1,0,3,Enriched,Open Library only,Leadership in Organizations Gary A. Yukl,Leadership in Organizations Gary A. Yukl Organisation Prise de décision Entscheidungsfindung Leadership Organizational sociology Organization Decision making Management Entscheidungstheorie Politische Wissenschaft Economic development Fuhrung Prise de decision 85.08 organizational sociology and psychology Führung Organisationsverhalten Leiderschap Armies Executive ability Organizational Decision Making Manuel Organisation (organisme) Ledarskap Organisationssociologi Organisationsteori Organisationsutveckling Beslutsfattande Organization theory,6,51,45
BOOK00003,Kepemimpinan =,['Karjadi M.'],,['Leadership'],1977.0,1.0,1.0,1.0,41.0,2.0,18.0,https://covers.openlibrary.org/b/id/14420782-L.jpg,/works/OL302757W,True,False,,kepemimpinan =,1,0,1,1,1,1,1,1,0,49.0,,0.6931471805599453,3.7376696182833684,1.0986122886681098,2.9444389791664403,0.6931471805599453,61.0,4.127134385045092,,,0,0,0,0,,,,,,,,,Kepemimpinan =,Karjadi M.,Leadership,,Kepemimpinan = Karjadi M. Leadership,5,36,1,1,1,0,3,Enriched,Open Library only,Kepemimpinan = Karjadi M.,Kepemimpinan = Karjadi M. Leadership,4,5,1
BOOK00004,Spiritual leadership,['J. Oswald Sanders'],,"['Christian leadership', 'Leadership', 'Spiritual directors']",1967.0,5.0,3.0,8.0,74.0,7.0,2.0,https://covers.openlibrary.org/b/id/570509-L.jpg,/works/OL450702W,True,False,,spiritual leadership,1,0,1,1,1,1,1,1,0,59.0,,1.3862943611198906,4.31748811353631,2.0794415416798357,1.0986122886681098,2.1972245773362196,83.0,4.430816798843313,,,0,0,0,0,,,,,,,,,Spiritual leadership,J. Oswald Sanders,Christian leadership Leadership Spiritual directors,,Spiritual leadership J. Oswald Sanders Christian leadership Leadership Spiritual directors,10,90,1,1,1,0,3,Enriched,Open Library only,Spiritual leadership J. Oswald Sanders,Spiritual leadership J. Oswald Sanders Christian leadership Leadership Spiritual directors,5,10,5
BOOK00005,Leadership,['Peter Guy Northouse'],,"['Cas, Études de', 'Leiderschap', 'Leadership', 'Case studies', 'Führung', 'Leadership--case studies', 'Hm141 .n67 1997', '303.3/4']",1997.0,3.6666667,3.0,5.0,67.0,4.0,3.0,https://covers.openlibrary.org/b/id/3859675-L.jpg,/works/OL94176W,True,False,,leadership,1,0,1,1,1,1,1,1,0,29.0,,1.3862943611198906,4.219507705176107,1.6094379124341003,1.3862943611198906,1.791759469228055,74.0,4.31748811353631,,,0,0,0,0,,,,,,,,,Leadership,Peter Guy Northouse,"Cas, Études de Leiderschap Leadership Case studies Führung Leadership--case studies Hm141 .n67 1997 303.3/4",,"Leadership Peter Guy Northouse Cas, Études de Leiderschap Leadership Case studies Führung Leadership--case studies Hm141 .n67 1997 303.3/4",18,138,1,1,1,0,3,Enriched,Open Library only,Leadership Peter Guy Northouse,"Leadership Peter Guy Northouse Cas, Études de Leiderschap Leadership Case studies Führung Leadership--case studies Hm141 .n67 1997 303.3/4",4,18,14
BOOK00006,The 21 Irrefutable Laws of Leadership,['John C. Maxwell'],,"['Leadership', 'Industrial management', 'Dirección y administración', 'Liderazgo', 'Industria', ""Gestion d'entreprise""]",1998.0,4.1666665,12.0,12.0,274.0,13.0,14.0,https://covers.openlibrary.org/b/id/1465659-L.jpg,/works/OL28124W,True,False,,the 21 irrefutable laws of leadership,1,0,1,1,1,1,1,1,0,28.0,,2.5649493574615367,5.616771097666572,2.6390573296152584,2.70805020110221,2.5649493574615367,301.0,5.71042701737487,,,0,0,0,0,,,,,,,,,The 21 Irrefutable Laws of Leadership,John C. Maxwell,Leadership Industrial management Dirección y administración Liderazgo Industria Gestion d'entreprise,,The 21 Irrefutable Laws of Leadership John C. Maxwell Leadership Industrial management Dirección y administración Liderazgo Industria Gestion d'entreprise,19,154,1,1,1,0,3,Enriched,Open Library only,The 21 Irrefutable Laws of Leadership John C. Maxwell,The 21 Irrefutable Laws of Leadership John C. Maxwell Leadership Industrial management Dirección y administración Liderazgo Industria Gestion d'entreprise,9,19,10
BOOK00007,Leadership,['Peter G. Northouse'],"""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.","['Leadership', 'Case studies', 'Sociology', 'Führung', 'Leadership--case studies', 'Hm1261 .n67 2018', '303.3/4']",2000.0,5.0,3.0,8.0,50.0,2.0,2.0,https://covers.openlibrary.org/b/id/511761-L.jpg,/works/OL7956784W,True,False,,leadership,1,1,1,1,1,1,1,1,0,26.0,,1.3862943611198906,3.9318256327243257,1.0986122886681098,1.0986122886681098,2.1972245773362196,54.0,4.007333185232471,,,0,0,0,0,,,,,,,,,Leadership,Peter G. Northouse,Leadership Case studies Sociology Führung Leadership--case studies Hm1261 .n67 2018 303.3/4,"""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.","Leadership Peter G. Northouse Leadership Case studies Sociology Führung Leadership--case studies Hm1261 .n67 2018 303.3/4 ""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.",93,681,1,1,1,1,4,Rich,Open Library only,Leadership Peter G. Northouse,"Leadership Peter G. Northouse Leadership Case studies Sociology Führung Leadership--case studies Hm1261 .n67 2018 303.3/4 ""The Third Edition of this bestselling text reviews and analyzes the foremost leadership theories, giving special attention to how each theoretical approach can be applied in real-world organizations. For anyone seeking to explore how an understanding of leadership theory can inform and direct the way leadership is practiced, Leadership: Theory and Practice is an indispensable tool. Adopted as a textbook at over 250 colleges and universities, this bestselling volume is equally useful for private-sector leadership development training programs.""--Jacket.",4,93,89
BOOK00008,Leadership and performance beyond expectations,['Bernard M. Bass'],,"['Leadership', 'Liderazgo']",1985.0,3.0,2.0,1.0,141.0,14.0,9.0,https://covers.openlibrary.org/b/id/18608-L.jpg,/works/OL2421691W,True,False,,leadership and performance beyond expectations,1,0,1,1,1,1,1,1,0,41.0,,1.0986122886681098,4.955827057601261,2.70805020110221,2.302585092994046,0.6931471805599453,164.0,5.10594547390058,,,0,0,0,0,,,,,,,,,Leadership and performance beyond expectations,Bernard M. Bass,Leadership Liderazgo,,Leadership and performance beyond expectations Bernard M. Bass Leadership Liderazgo,10,83,1,1,1,0,3,Enriched,Open Library only,Leadership and performance beyond expectations Bernard M. Bass,Leadership and performance beyond expectations Bernard M. Bass Leadership Liderazgo,8,10,2
BOOK00009,A Higher Loyalty,"['James Comey', 'James B. Comey', 'James Comey']",The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.,"['Politics and government', 'Officials and employees', 'United States. Federal Bureau of Investigation', 'United States', 'Leadership', 'Biography', 'Political leadership', 'Political ethics', 'War on Terrorism, 2001-2009', 'United States. Department of Justice', 'Election', 'Presidents', 'Large type books', 'Personal narratives', 'United states, federal bureau of investigation', 'United states, politics and government, 2009-2017', 'United states, politics and government, 2017-', 'United states, politics and government, 2001-2009', 'Lawyers, biography', 'United states, politics and government, biography', 'nyt:combined-print-and-e-book-nonfiction=2018-05-06', 'New York Times bestseller', 'New York Times reviewed', 'United states, politics and government, 2017-2021', 'BIOGRAPHY & AUTOBIOGRAPHY / Political', 'POLITICAL SCIENCE / American Government / National', 'HISTORY / United States / 21st Century', 'United States Federal Bureau of Investigation']",2018.0,4.3,10.0,9.0,20.0,0.0,14.0,https://covers.openlibrary.org/b/id/10597437-L.jpg,/works/OL18146967W,True,False,,a higher loyalty,1,1,1,1,1,1,1,1,0,8.0,,2.3978952727983707,3.044522437723423,0.0,2.70805020110221,2.302585092994046,34.0,3.5553480614894135,,,0,0,0,0,,,,,,,,,A Higher Loyalty,James Comey James B. Comey James Comey,"Politics and government Officials and employees United States. Federal Bureau of Investigation United States Leadership Biography Political leadership Political ethics War on Terrorism, 2001-2009 United States. Department of Justice Election Presidents Large type books Personal narratives United states, federal bureau of investigation United states, politics and government, 2009-2017 United states, politics and government, 2017- United states, politics and government, 2001-2009 Lawyers, biography United states, politics and government, biography nyt:combined-print-and-e-book-nonfiction=2018-05-06 New York Times bestseller New York Times reviewed United states, politics and government, 2017-2021 BIOGRAPHY & AUTOBIOGRAPHY / Political POLITICAL SCIENCE / American Government / National HISTORY / United States / 21st Century United States Federal Bureau of Investigation",The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.,"A Higher Loyalty James Comey James B. Comey James Comey Politics and government Officials and employees United States. Federal Bureau of Investigation United States Leadership Biography Political leadership Political ethics War on Terrorism, 2001-2009 United States. Department of Justice Election Presidents Large type books Personal narratives United states, federal bureau of investigation United states, politics and government, 2009-2017 United states, politics and government, 2017- United states, politics and government, 2001-2009 Lawyers, biography United states, politics and government, biography nyt:combined-print-and-e-book-nonfiction=2018-05-06 New York Times bestseller New York Times reviewed United states, politics and government, 2017-2021 BIOGRAPHY & AUTOBIOGRAPHY / Political POLITICAL SCIENCE / American Government / National HISTORY / United States / 21st Century United States Federal Bureau of Investigation The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.",145,1114,1,1,1,1,4,Rich,Open Library only,A Higher Loyalty James Comey James B. Comey James Comey,"A Higher Loyalty James Comey James B. Comey James Comey Politics and government Officials and employees United States. Federal Bureau of Investigation United States Leadership Biography Political leadership Political ethics War on Terrorism, 2001-2009 United States. Department of Justice Election Presidents Large type books Personal narratives United states, federal bureau of investigation United states, politics and government, 2009-2017 United states, politics and government, 2017- United states, politics and government, 2001-2009 Lawyers, biography United states, politics and government, biography nyt:combined-print-and-e-book-nonfiction=2018-05-06 New York Times bestseller New York Times reviewed United states, politics and government, 2017-2021 BIOGRAPHY & AUTOBIOGRAPHY / Political POLITICAL SCIENCE / American Government / National HISTORY / United States / 21st Century United States Federal Bureau of Investigation The former FBI director shares his experiences over the past two decades working in the American government and explores ethical leadership and how it drives sound decision-making.",10,145,135
BOOK00010,Leadership and Self Deception,"['The Arbinger Institute', 'Dick Ruhe']","This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.","['Berrett Koehler', 'Business', 'Nonfiction', 'Leadership', 'Self-deception', 'Déception de soi', 'BUSINESS & ECONOMICS', 'Management', 'Management Styles & Communication', 'Economics']",2000.0,4.1666665,6.0,31.0,65.0,4.0,10.0,https://covers.openlibrary.org/b/id/831276-L.jpg,/works/OL8921343W,True,False,,leadership and self deception,1,1,1,1,1,1,1,1,0,26.0,,1.9459101490553132,4.189654742026425,1.6094379124341003,2.3978952727983707,3.4657359027997265,79.0,4.382026634673881,,,0,0,0,0,,,,,,,,,Leadership and Self Deception,The Arbinger Institute Dick Ruhe,Berrett Koehler Business Nonfiction Leadership Self-deception Déception de soi BUSINESS & ECONOMICS Management Management Styles & Communication Economics,"This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.","Leadership and Self Deception The Arbinger Institute Dick Ruhe Berrett Koehler Business Nonfiction Leadership Self-deception Déception de soi BUSINESS & ECONOMICS Management Management Styles & Communication Economics This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.",84,557,1,1,1,1,4,Rich,Open Library only,Leadership and Self Deception The Arbinger Institute Dick Ruhe,"Leadership and Self Deception The Arbinger Institute Dick Ruhe Berrett Koehler Business Nonfiction Leadership Self-deception Déception de soi BUSINESS & ECONOMICS Management Management Styles & Communication Economics This phenomenal bestseller * over 700,000 copies sold * changes readers? lives and helps them transform their organizations. In this new edition, the text has been updated and revised throughout to make it even more readable and powerful and a new section has been added that details the many different ways that people are using the book.",9,84,75
BOOK00011,Leadership,['Elesa Zehndorfer'],,"['Leadership', 'Industrial management', ""Gestion d'entreprise"", 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior', 'BUSINESS & ECONOMICS / Leadership']",2013.0,5.0,1.0,12.0,32.0,3.0,1.0,https://covers.openlibrary.org/b/id/13806636-L.jpg,/works/OL19982874W,True,False,,leadership,1,0,1,1,1,1,1,1,0,13.0,,0.6931471805599453,3.4965075614664802,1.3862943611198906,0.6931471805599453,2.5649493574615367,36.0,3.6109179126442243,,,0,0,0,0,,,,,,,,,Leadership,Elesa Zehndorfer,Leadership Industrial management Gestion d'entreprise BUSINESS & ECONOMICS / Industrial Management BUSINESS & ECONOMICS / Management BUSINESS & ECONOMICS / Management Science BUSINESS & ECONOMICS / Organizational Behavior BUSINESS & ECONOMICS / Leadership,,Leadership Elesa Zehndorfer Leadership Industrial management Gestion d'entreprise BUSINESS & ECONOMICS / Industrial Management BUSINESS & ECONOMICS / Management BUSINESS & ECONOMICS / Management Science BUSINESS & ECONOMICS / Organizational Behavior BUSINESS & ECONOMICS / Leadership,36,283,1,1,1,0,3,Enriched,Open Library only,Leadership Elesa Zehndorfer,Leadership Elesa Zehndorfer Leadership Industrial management Gestion d'entreprise BUSINESS & ECONOMICS / Industrial Management BUSINESS & ECONOMICS / Management BUSINESS & ECONOMICS / Management Science BUSINESS & ECONOMICS / Organizational Behavior BUSINESS & ECONOMICS / Leadership,3,36,33
BOOK00012,Leadership,"['Richard L. Hughes', 'Robert C. Ginnett', 'Gordon J Curphy', 'Richard Hughes', 'Robert Ginnett', 'Gordon Curphy', 'Gordon J. Curphy']",,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1993.0,,,11.0,37.0,6.0,2.0,https://covers.openlibrary.org/b/id/63396-L.jpg,/works/OL1947324W,True,False,,leadership,1,0,1,1,0,1,1,1,0,33.0,,,3.6375861597263857,1.9459101490553132,1.0986122886681098,2.4849066497880004,45.0,3.828641396489095,,,0,0,0,0,,,,,,,,,Leadership,Richard L. Hughes Robert C. Ginnett Gordon J Curphy Richard Hughes Robert Ginnett Gordon Curphy Gordon J. Curphy,Leadership Management Leiderschap Management & management techniques Industrial & Organizational Psychology Business & Economics Business / Economics / Finance Psychology,,Leadership Richard L. Hughes Robert C. Ginnett Gordon J Curphy Richard Hughes Robert Ginnett Gordon Curphy Gordon J. Curphy Leadership Management Leiderschap Management & management techniques Industrial & Organizational Psychology Business & Economics Business / Economics / Finance Psychology,39,294,1,1,1,0,3,Enriched,Open Library only,Leadership Richard L. Hughes Robert C. Ginnett Gordon J Curphy Richard Hughes Robert Ginnett Gordon Curphy Gordon J. Curphy,Leadership Richard L. Hughes Robert C. Ginnett Gordon J Curphy Richard Hughes Robert Ginnett Gordon Curphy Gordon J. Curphy Leadership Management Leiderschap Management & management techniques Industrial & Organizational Psychology Business & Economics Business / Economics / Finance Psychology,19,39,20
BOOK00013,Lincoln on Leadership,['Donald T. Phillips'],"A guide to business leadership based on the strategies of Abraham Lincoln focuses on the President's most difficult decisions during the Civil War, offering lessons based on his experiences for today's businessperson.","['Views on political leadership', 'Political leadership', 'Leadership', 'Politische Führung', 'Leiderschap', 'Politische Fu\x98hrung', 'Lincoln, abraham, 1809-1865']",1992.0,4.75,4.0,3.0,92.0,5.0,4.0,https://covers.openlibrary.org/b/id/285557-L.jpg,/works/OL1807678W,True,False,,lincoln on leadership,1,1,1,1,1,1,1,1,0,34.0,,1.6094379124341003,4.532599493153256,1.791759469228055,1.6094379124341003,1.3862943611198906,101.0,4.624972813284271,,,0,0,0,0,,,,,,,,,Lincoln on Leadership,Donald T. Phillips,"Views on political leadership Political leadership Leadership Politische Führung Leiderschap Politische Fuhrung Lincoln, abraham, 1809-1865","A guide to business leadership based on the strategies of Abraham Lincoln focuses on the President's most difficult decisions during the Civil War, offering lessons based on his experiences for today's businessperson.","Lincoln on Leadership Donald T. Phillips Views on political leadership Political leadership Leadership Politische Führung Leiderschap Politische Fuhrung Lincoln, abraham, 1809-1865 A guide to business leadership based on the strategies of Abraham Lincoln focuses on the President's most difficult decisions during the Civil War, offering lessons based on his experiences for today's businessperson.",53,399,1,1,1,1,4,Rich,Open Library only,Lincoln on Leadership Donald T. Phillips,"Lincoln on Leadership Donald T. Phillips Views on political leadership Political leadership Leadership Politische Führung Leiderschap Politische Fuhrung Lincoln, abraham, 1809-1865 A guide to business leadership based on the strategies of Abraham Lincoln focuses on the President's most difficult decisions during the Civil War, offering lessons based on his experiences for today's businessperson.",6,53,47
BOOK00014,Leadership,['James MacGregor Burns'],"A systematic study, ranging from the salons of eighteenth-century Paris to the revolutionary cadres of the present century, views leadership as dialectic, synthetic, collective, and consciousness-raising and scrutinizes its causes and effects.","['Leadership', 'Fu\x98hrungspsychologie', 'Fu\x98hrungseigenschaft', 'Politische Fu\x98hrung', 'Politieke aspecten', 'Führung', 'Pouvoir (sciences sociales)', 'Leiderschap', 'Ethische aspecten']",1978.0,5.0,1.0,4.0,59.0,3.0,0.0,https://covers.openlibrary.org/b/id/4448837-L.jpg,/works/OL30484W,True,False,,leadership,1,1,1,1,1,1,1,1,0,48.0,,0.6931471805599453,4.0943445622221,1.3862943611198906,0.0,1.6094379124341003,62.0,4.143134726391533,,,0,0,0,0,,,,,,,,,Leadership,James MacGregor Burns,Leadership Fuhrungspsychologie Fuhrungseigenschaft Politische Fuhrung Politieke aspecten Führung Pouvoir (sciences sociales) Leiderschap Ethische aspecten,"A systematic study, ranging from the salons of eighteenth-century Paris to the revolutionary cadres of the present century, views leadership as dialectic, synthetic, collective, and consciousness-raising and scrutinizes its causes and effects.","Leadership James MacGregor Burns Leadership Fuhrungspsychologie Fuhrungseigenschaft Politische Fuhrung Politieke aspecten Führung Pouvoir (sciences sociales) Leiderschap Ethische aspecten A systematic study, ranging from the salons of eighteenth-century Paris to the revolutionary cadres of the present century, views leadership as dialectic, synthetic, collective, and consciousness-raising and scrutinizes its causes and effects.",50,434,1,1,1,1,4,Rich,Open Library only,Leadership James MacGregor Burns,"Leadership James MacGregor Burns Leadership Fuhrungspsychologie Fuhrungseigenschaft Politische Fuhrung Politieke aspecten Führung Pouvoir (sciences sociales) Leiderschap Ethische aspecten A systematic study, ranging from the salons of eighteenth-century Paris to the revolutionary cadres of the present century, views leadership as dialectic, synthetic, collective, and consciousness-raising and scrutinizes its causes and effects.",4,50,46
BOOK00015,Leadership,['Robert N. Lussier'],,"['Teams in the workplace', 'Leadership']",2000.0,4.5,4.0,5.0,48.0,4.0,1.0,https://covers.openlibrary.org/b/id/194497-L.jpg,/works/OL1815713W,True,False,,leadership,1,0,1,1,1,1,1,1,0,26.0,,1.6094379124341003,3.8918202981106265,1.6094379124341003,0.6931471805599453,1.791759469228055,53.0,3.9889840465642745,,,0,0,0,0,,,,,,,,,Leadership,Robert N. Lussier,Teams in the workplace Leadership,,Leadership Robert N. Lussier Teams in the workplace Leadership,9,62,1,1,1,0,3,Enriched,Open Library only,Leadership Robert N. Lussier,Leadership Robert N. Lussier Teams in the workplace Leadership,4,9,5
